"morphospe","family.x","scientificName","family.y","status"
"Masdevallia antonii","Orchidaceae","Masdevallia antonii Königer","Orchidaceae","ACCEPTED"
"Lepanthes sp5","Orchidaceae","Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Platystele sp1","Orchidaceae","Platystele Schltr.","Orchidaceae","ACCEPTED"
"Hymenophyllum sericeum","Hymenophyllaceae","Hymenophyllum sericeum (Sw.) Sw.","Hymenophyllaceae","ACCEPTED"
"Stelis sp16","Orchidaceae",NA,NA,NA
"Myoxanthus parahybunensis","Orchidaceae","Myoxanthus parahybunensis (Barb.Rodr.) Luer","Orchidaceae","ACCEPTED"
"Elaphoglossum sp23","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Epidendrum sp19","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Trichomanes sp3","Hymenophyllaceae","Trichomanes L.","Hymenophyllaceae","ACCEPTED"
"Elaphoglossum muscosum 2","Dryopteridaceae","Elaphoglossum muscosum (Sw.) T.Moore","Dryopteridaceae","ACCEPTED"
"Maxillaria sp11","Orchidaceae",NA,NA,NA
"Asplenium serra","Aspleniaceae","Asplenium serra Langsd. & Fisch.","Aspleniaceae","ACCEPTED"
"Campyloneurum sp1","Polypodiaceae","Campyloneurum C.Presl","Polypodiaceae","ACCEPTED"
"Cranichis sp1","Orchidaceae","Cranichis Sw.","Orchidaceae","ACCEPTED"
"Tillandsia sp1","Bromeliaceae","Tillandsia L.","Bromeliaceae","ACCEPTED"
"Racinaea sp7","Bromeliaceae","Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Elaphoglossum lingua ","Dryopteridaceae",NA,NA,NA
"Alansmia sp4","Polypodiaceae","Alansmia M.Kessler, Moguel, Sundue & Labiak","Polypodiaceae","ACCEPTED"
"Pachyphyllum sp3","Orchidaceae",NA,NA,NA
"Tillandsia recurvata","Bromeliaceae","Tillandsia recurvata (L.) L.","Bromeliaceae","ACCEPTED"
"Dichaea sp2","Orchidaceae","Dichaea Lindl.","Orchidaceae","ACCEPTED"
"Neoregelia sp3","Bromeliaceae","Neoregelia L.B.Sm.","Bromeliaceae","ACCEPTED"
"Stelis sp17","Orchidaceae",NA,NA,NA
"Melpomene personata2","Polypodiaceae",NA,NA,NA
"Epidendrum sp28","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Elaphoglossum sp25","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Elaphoglossum lechlerianum","Dryopteridaceae","Elaphoglossum lechlerianum (Mett.) T.Moore","Dryopteridaceae","ACCEPTED"
"Racinaea sp6","Bromeliaceae","Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Phlebodium sp2","Polypodiaceae","Phlebodium (R.Br.) J.Sm.","Polypodiaceae","ACCEPTED"
"Racinaea sp5","Bromeliaceae","Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Maxillaria sp12","Orchidaceae",NA,NA,NA
"Fernandezia sp3","Orchidaceae",NA,NA,NA
"Lepanthopsis sp2","Orchidaceae","Lepanthopsis (Cogn.) Ames","Orchidaceae","ACCEPTED"
"Bomarea sp1","Alstroemeriaceae","Bomarea Mirb.","Alstroemeriaceae","ACCEPTED"
