plot;elevation;subplot;tag;tagtree;family;genus;species;NC;DBH;H;obv
ACJ-01;3537;9;325;ACJ-01_325;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;51.8;13;
ACJ-01;3537;9;326;ACJ-01_326;Solanaceae;Saracha;punctata;Saracha punctata;12.5;3;
ACJ-01;3537;9;327;ACJ-01_327;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;10.3;4;
ACJ-01;3537;9;328;ACJ-01_328;Melastomataceae;Miconia;alpina;Miconia alpina;12.2;7;podrido c/ rebrote
ACJ-01;3537;9;329;ACJ-01_329;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;17.7;8;
ACJ-01;3537;9;334;ACJ-01_334;Clethraceae;Clethra;WRF584;Clethra WRF584;19.6;15;postrado
ACJ-01;3537;9;336;ACJ-01_336;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;31.1;15;
ACJ-01;3537;9;338;ACJ-01_338;Solanaceae;Sessea;dependens;Sessea dependens;15.9;9;echado
ACJ-01;3537;9;339;ACJ-01_339;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;25.2;12;
ACJ-01;3537;9;340;ACJ-01_340;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;17.7;9;
ACJ-01;3537;9;342;ACJ-01_342;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;14.2;9;
ACJ-01;3537;9;343;ACJ-01_343;Melastomataceae;Miconia;alpina;Miconia alpina;29.6;13;
ACJ-01;3537;9;344;ACJ-01_344;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;16.9;10;
ACJ-01;3537;9;345;ACJ-01_345;Rosaceae;Polylepis;pauta;Polylepis pauta;31;11;
ACJ-01;3537;21;714;ACJ-01_714;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;41.6;15;
ACJ-01;3537;21;715;ACJ-01_715;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;37.5;11;
ACJ-01;3537;21;716;ACJ-01_716;Clethraceae;Clethra;cuneata;Clethra cuneata;31.6;15;
ACJ-01;3537;21;717;ACJ-01_717;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;29.2;12;
